idx,b_mm,theta_lo_deg,theta_hi_deg,theta_a0_deg,midpoint_deg,swing_deg,monotonic
381,1.83066132264529,93.2557856266072,-55.9692666881951,9.33854266137851,18.6432594692061,149.225052314802,1
382,1.84468937875752,93.4056427427219,-56.1142836622842,9.28567832514563,18.6456795402188,149.519926405006,1
383,1.85871743486974,93.5558689614421,-56.2596881475951,9.23235777211499,18.6480904069235,149.815557109037,1
384,1.87274549098196,93.7064639709407,-56.4054813915235,9.17857512562385,18.6504912897086,150.111945362464,1
385,1.88677354709419,93.8574274395135,-56.551664654901,9.12432440860662,18.6528813923062,150.409092094415,1
386,1.90080160320641,94.0087590153787,-56.6982392124176,9.06959954146284,18.6552599014806,150.706998227796,1
387,1.91482965931864,94.1604583264771,-56.845206353057,9.01439433987121,18.6576259867101,151.005664679534,1
388,1.92885771543086,94.3125249802716,-56.9925673805489,8.95870251254801,18.6599787998614,151.30509236082,1
389,1.94288577154309,94.4649585635477,-57.1403236138347,8.90251765894834,18.6623174748565,151.605282177382,1
390,1.95691382765531,94.6177586422139,-57.2884763875506,8.8458332669085,18.6646411273317,151.906235029765,1
391,1.97094188376753,94.7709247611027,-57.437027052526,8.78864271022759,18.6669488542884,152.207951813629,1
392,1.98496993987976,94.9244564437718,-57.5859769763,8.73093924618692,18.6692397337359,152.510433420072,1
393,1.99899799599198,95.0783531923056,-57.7353275436553,8.67271601300483,18.6715128243252,152.813680735961,1
394,2.01302605210421,95.232614487118,-57.8850801571702,8.6139660272254,18.6737671649739,153.117694644288,1
395,2.02705410821643,95.3872397867545,-58.0352362377902,8.55468218103899,18.6760017744821,153.422476024545,1
396,2.04108216432866,95.5422285276964,-58.1857972254196,8.4948572395323,18.6782156511384,153.728025753116,1
397,2.05511022044088,95.6975801241643,-58.3367645795328,8.43448383786613,18.6804077723157,154.034344703697,1
398,2.06913827655311,95.8532939679233,-58.4881397798083,8.37355447837849,18.6825770940575,154.341433747732,1
399,2.08316633266533,96.0093694280885,-58.6399243267837,8.31206152761063,18.6847225506524,154.649293754872,1
400,2.09719438877756,96.1658058509315,-58.7921197425347,8.24999721325404,18.6868430541984,154.957925593466,1
401,2.11122244488978,96.322602559688,-58.9447275713777,8.18735362101543,18.6889374941551,155.267330131066,1
402,2.125250501002,96.479758854366,-59.0977493805974,8.12412269139762,18.6910047368843,155.577508234963,1
